Product Name,Sales,Profit
Bush Somerset Collection Bookcase,261.96,41.9136
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,219.582
Self-Adhesive Address Labels for Typewriters by Universal,14.62,6.8714
Bretford CR4500 Series Slim Rectangular Table,957.5775,-383.031
Eldon Fold 'N Roll Cart System,22.368,2.5164
"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,14.1694
Newell 322,7.28,1.9656
Mitel 5320 IP Phone VoIP phone,907.152,90.7152
DXL Angle-View Binders with Locking Rings by Samsill,18.504,5.7825
Belkin F5C206VTEL 6 Outlet Surge,114.9,34.47
Chromcraft Rectangular Conference Tables,1706.184,85.3091999999998
Konftel 250 Conference phone - Charcoal black,911.424,68.3568
Xerox 1967,15.552,5.4432
Fellowes PB200 Plastic Comb Binding Machine,407.976,132.5922
"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,-123.858
Storex DuraTech Recycled Plastic Frosted Binders,2.544,-3.816
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,13.3176
Fellowes Super Stor/Drawer,55.5,9.99
Newell 341,8.56,2.4824
Cisco SPA 501G IP Phone,213.48,16.011
"Wilson Jones Hanging View Binder, White, 1""",22.72,7.384
Newell 318,19.46,5.0596
"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,15.6884
"Global Deluxe Stacking Chair, Gray",71.372,-1.0196
Bretford CR4500 Series Slim Rectangular Table,1044.63,240.2649
Wilson Jones Active Use Binders,11.648,4.2224
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,11.7741
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,-1665.0522
Avery Recycled Flexi-View Covers for Binding Systems,9.618,-7.0532
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,15.525
Poly String Tie Envelopes,3.264,1.1016
"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,9.70919999999999
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,-5.715
Lumber Crayons,15.76,3.546
Easy-staple paper,29.472,9.9468
GE 30524EE4,1097.544,123.4737
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,-147.963
